transaction_id,account_id,amount,type,category,transaction_date
264,654,278,credit,shopping,2024-04-17
265,434,26401,credit,atm,2024-02-01
266,404,49414,credit,food,2024-12-29
267,434,35508,debit,transfer,2024-05-17
268,112,42065,debit,transfer,2024-04-02
269,929,32013,debit,salary,2024-08-01
270,375,18832,debit,atm,2024-03-09
271,59,2521,credit,transfer,2024-09-23
272,43,43815,debit,food,2024-07-04
273,207,20626,debit,shopping,2024-10-10
274,780,28417,debit,shopping,2024-12-09
275,296,1317,credit,atm,2024-06-10
276,118,35342,debit,salary,2024-04-15
277,532,1029,credit,food,2024-10-22
278,222,40826,debit,salary,2024-07-10
279,166,34370,credit,salary,2024-05-17
280,643,33288,debit,atm,2024-10-08
281,156,13680,debit,shopping,2024-02-12
282,184,48708,credit,salary,2024-08-20
283,90,38698,debit,salary,2024-11-22
284,94,30531,debit,food,2024-04-21
285,13,20842,debit,shopping,2024-11-30
286,973,17933,debit,salary,2024-03-02
287,834,30985,credit,transfer,2024-08-24
288,805,5911,debit,transfer,2024-07-13
289,945,8719,credit,shopping,2024-10-27
290,742,24355,debit,shopping,2024-07-07
291,834,25072,debit,atm,2024-08-05
292,804,13627,debit,salary,2024-07-17
293,438,49091,credit,transfer,2024-07-20
294,538,32974,credit,transfer,2024-12-15
295,587,4149,debit,shopping,2024-02-16
296,968,41157,debit,shopping,2024-09-11
297,876,2003,credit,food,2024-11-18
298,936,44361,credit,food,2024-08-17
299,811,5476,credit,shopping,2024-10-11
300,150,142,debit,food,2024-07-09
301,660,22869,debit,shopping,2024-01-25
302,8,1677,debit,shopping,2024-04-19
303,29,12482,debit,atm,2024-09-16
304,296,22549,credit,food,2024-03-09
305,986,38753,debit,salary,2024-03-03
306,926,28959,credit,salary,2024-09-18
307,721,8676,debit,atm,2024-12-04
308,640,45974,debit,salary,2024-01-18
309,340,11763,debit,salary,2024-12-23
310,628,36445,debit,atm,2024-02-05
311,439,49010,debit,transfer,2024-11-27
312,144,5344,debit,atm,2024-03-28
313,942,35002,credit,atm,2024-07-03
314,830,3992,debit,food,2024-06-06
315,747,27212,credit,salary,2024-09-04
316,519,4421,credit,salary,2024-10-21
317,976,5876,credit,transfer,2024-10-16
318,45,43452,credit,atm,2024-02-27
319,955,16219,debit,shopping,2024-07-30
320,239,30669,debit,transfer,2024-12-21
321,952,38696,credit,transfer,2024-08-02
322,944,33163,debit,salary,2024-10-16
323,155,33281,debit,salary,2024-12-23
324,181,22440,credit,salary,2024-05-15
325,215,10287,debit,salary,2024-10-25
326,88,47184,credit,transfer,2024-11-14
327,256,6768,debit,atm,2024-09-11
328,511,15444,credit,salary,2024-07-08
329,73,8295,credit,food,2024-12-15
330,931,16661,debit,transfer,2024-04-20
331,179,37222,debit,shopping,2024-10-02
332,212,22398,debit,shopping,2024-06-28
333,805,38350,debit,atm,2024-03-24
334,234,16176,credit,transfer,2024-03-24
335,465,15476,debit,transfer,2024-10-28
336,751,36139,debit,transfer,2024-12-08
337,223,43542,debit,food,2024-03-02
338,631,5492,debit,food,2024-05-17
339,825,49541,debit,salary,2024-05-12
340,264,27206,credit,shopping,2024-12-17
341,207,14409,debit,food,2024-05-25
342,607,24909,debit,shopping,2024-11-12
343,885,49659,debit,transfer,2024-11-14
344,734,793,credit,food,2024-03-29
345,366,34037,debit,shopping,2024-09-11
346,276,29333,debit,food,2024-07-27
347,380,8723,debit,transfer,2024-09-17
348,743,40650,credit,transfer,2024-12-20
349,309,46724,debit,transfer,2024-09-07
350,631,9274,debit,salary,2024-01-21
351,268,11452,debit,shopping,2024-04-09
352,945,5630,credit,salary,2024-10-01
353,785,5092,debit,atm,2024-05-30
354,64,23454,credit,atm,2024-11-20
355,810,3412,debit,food,2024-06-09
356,350,45933,debit,food,2024-08-26
357,925,4418,credit,food,2024-02-04
358,915,46927,debit,salary,2024-11-10
359,494,34556,debit,transfer,2024-02-11
360,523,567,debit,food,2024-05-06
361,98,27292,debit,food,2024-08-05
362,946,42405,credit,atm,2024-12-22
363,71,35290,credit,transfer,2024-03-26
364,364,23763,credit,salary,2024-07-21
365,570,31346,credit,transfer,2024-02-18
366,802,47472,credit,atm,2024-10-23
367,763,37589,credit,salary,2024-11-28
368,276,42071,debit,shopping,2024-07-24
369,50,40409,debit,food,2024-04-14
370,358,42737,credit,salary,2024-02-18
371,728,28373,debit,atm,2024-03-11
372,906,47653,credit,transfer,2024-03-24
373,928,29573,debit,salary,2024-06-22
374,564,13779,debit,atm,2024-11-15
375,783,27545,debit,salary,2024-09-08
376,485,45410,debit,food,2024-06-03
377,84,17970,credit,transfer,2024-10-16
378,899,47329,debit,transfer,2024-08-01
379,805,26092,debit,salary,2024-07-09
380,638,29533,debit,atm,2024-12-23
381,808,11138,debit,food,2024-04-10
382,584,26033,debit,food,2024-07-13
383,296,45120,credit,salary,2024-06-03
384,236,29336,credit,shopping,2024-01-07
385,56,9870,debit,salary,2024-05-02
386,919,3849,credit,food,2024-10-05
387,360,44685,credit,transfer,2024-05-06
388,907,35371,debit,salary,2024-08-03
389,110,7955,debit,salary,2024-08-29
390,192,46246,debit,transfer,2024-06-12
391,904,44197,debit,salary,2024-11-09
392,93,23539,debit,atm,2024-01-11
393,862,30390,debit,transfer,2024-09-19
394,568,11201,debit,transfer,2024-11-17
395,60,27340,credit,transfer,2024-10-13
396,650,16883,credit,food,2024-02-15
397,39,45017,debit,salary,2024-11-21
398,540,26909,credit,shopping,2024-09-10
399,49,47487,credit,salary,2024-08-16
400,420,18023,debit,salary,2024-11-04
401,637,47853,debit,food,2024-12-14
402,13,15126,debit,atm,2024-03-08
403,992,41296,debit,atm,2024-02-15
404,36,23669,debit,food,2024-10-19
405,101,41987,debit,food,2024-11-27
406,794,20993,debit,food,2024-06-03
407,86,22535,debit,salary,2024-10-07
408,516,36992,credit,food,2024-01-12
409,223,32499,credit,shopping,2024-07-06
410,338,25336,credit,transfer,2024-01-17
411,960,27299,credit,atm,2024-05-07
412,166,20434,credit,shopping,2024-12-16
413,383,49243,debit,atm,2024-04-28
414,856,33317,credit,salary,2024-01-09
415,895,49631,credit,salary,2024-07-29
416,376,15134,debit,food,2024-04-27
417,471,31185,debit,atm,2024-01-29
418,790,9542,debit,salary,2024-04-26
419,642,12743,debit,salary,2024-05-20
420,31,35169,debit,atm,2024-10-29
421,375,7810,debit,salary,2024-08-21
422,11,38660,credit,food,2024-05-10
423,988,42527,debit,salary,2024-06-12
424,302,7316,debit,shopping,2024-07-03
425,96,11812,debit,shopping,2024-09-15
426,190,5005,credit,food,2024-06-13
427,453,48634,credit,shopping,2024-01-20
428,192,38867,debit,salary,2024-11-25
429,486,28030,debit,shopping,2024-10-04
430,266,31292,debit,shopping,2024-05-28
431,424,23606,credit,salary,2024-08-12
432,128,49851,credit,atm,2024-12-01
433,238,7388,credit,food,2024-04-09
434,920,44134,debit,atm,2024-01-13
435,355,30111,debit,atm,2024-09-07
436,940,15686,debit,shopping,2024-01-08
437,112,32500,credit,transfer,2024-06-07
438,828,1667,debit,atm,2024-09-17
439,446,47978,credit,salary,2024-05-07
440,343,48950,credit,salary,2024-06-20
441,145,1194,credit,salary,2024-11-02
442,65,11235,debit,transfer,2024-12-21
443,247,13608,debit,transfer,2024-06-01
444,735,45213,credit,food,2024-01-13
445,991,9784,credit,transfer,2024-02-01
446,490,27347,debit,food,2024-05-13
447,825,6291,credit,salary,2024-02-18
448,439,17942,debit,transfer,2024-09-23
449,106,8146,debit,shopping,2024-03-11
450,181,5034,debit,shopping,2024-05-22
451,184,46906,credit,shopping,2024-03-08
452,226,1454,debit,transfer,2024-06-16
453,777,39341,debit,transfer,2024-09-04
454,790,29916,debit,transfer,2024-12-28
455,909,45662,debit,shopping,2024-04-13
456,89,3063,credit,salary,2024-08-01
457,688,27524,debit,atm,2024-06-06
458,530,14603,credit,salary,2024-10-01
459,371,3142,credit,transfer,2024-04-10
460,972,30341,credit,atm,2024-04-23
461,936,39841,credit,atm,2024-11-13
462,913,7239,debit,salary,2024-06-14
463,399,11326,debit,shopping,2024-01-30
464,106,39798,debit,food,2024-02-01
465,271,14862,debit,shopping,2024-12-04
466,975,18216,debit,shopping,2024-04-25
467,831,38208,debit,atm,2024-04-10
468,503,5211,credit,transfer,2024-12-30
469,679,3181,credit,transfer,2024-03-27
470,525,29915,debit,atm,2024-01-12
471,849,7902,debit,shopping,2024-09-21
472,32,42330,debit,salary,2024-09-29
473,393,48448,debit,food,2024-12-26
474,40,18013,credit,shopping,2024-02-29
475,660,17565,debit,shopping,2024-09-16
476,218,8094,debit,food,2024-05-16
477,731,3631,debit,salary,2024-09-23
478,981,9443,debit,food,2024-08-22
479,82,33584,debit,atm,2024-09-11
480,845,6329,debit,food,2024-11-12
481,720,28875,debit,food,2024-12-14
482,201,26866,debit,shopping,2024-08-13
483,447,16688,debit,shopping,2024-04-07
484,844,23268,debit,transfer,2024-10-03
485,428,44889,credit,food,2024-01-25
486,38,44169,debit,atm,2024-03-02
487,211,36962,debit,transfer,2024-03-24
488,444,21966,debit,food,2024-01-24
489,327,9624,debit,shopping,2024-07-15
490,761,22638,debit,atm,2024-03-06
491,227,42909,debit,salary,2024-09-06
492,48,21326,debit,transfer,2024-09-21
493,18,8203,debit,shopping,2024-08-22
494,912,18502,debit,salary,2024-05-15
495,439,15190,debit,food,2024-05-05
496,807,16015,credit,atm,2024-04-05
497,708,41577,debit,shopping,2024-11-09
498,187,34306,debit,shopping,2024-11-22
499,345,21611,debit,atm,2024-02-07
500,224,15129,debit,shopping,2024-05-27
501,830,30931,credit,shopping,2024-02-16
502,488,23631,debit,food,2024-03-19
503,909,4617,credit,transfer,2024-01-28
504,877,22061,debit,salary,2024-10-04
505,849,26935,debit,atm,2024-08-19
506,229,27825,debit,salary,2024-04-22
507,390,25457,credit,atm,2024-06-27
508,979,43773,debit,atm,2024-10-06
509,589,1344,debit,shopping,2024-08-13
510,188,2516,debit,food,2024-03-13
511,858,48161,debit,atm,2024-03-01
512,270,6590,credit,salary,2024-01-02
513,607,11783,debit,transfer,2024-12-30
514,310,5939,debit,salary,2024-03-29
515,132,25092,debit,food,2024-01-04
516,551,47718,debit,transfer,2024-08-19
517,72,45038,debit,shopping,2024-02-27
518,793,44835,debit,salary,2024-05-06
519,845,37877,debit,salary,2024-09-25
520,672,47180,debit,atm,2024-08-08
521,187,9024,credit,atm,2024-08-11
522,486,16021,debit,transfer,2024-06-03
523,191,24360,debit,shopping,2024-01-30
524,422,28480,debit,atm,2024-04-19
525,120,18911,debit,salary,2024-12-24
526,220,5821,debit,transfer,2024-09-08
527,53,41291,credit,atm,2024-11-13
528,734,5030,debit,atm,2024-07-11
529,451,4453,debit,food,2024-01-11
530,412,7932,debit,transfer,2024-12-08
531,643,49654,debit,transfer,2024-01-17
532,237,23051,debit,shopping,2024-06-03
533,758,49316,credit,atm,2024-04-26
534,738,7870,credit,transfer,2024-08-16
535,720,25625,debit,shopping,2024-10-17
536,406,16656,debit,atm,2024-07-05
537,608,15194,debit,salary,2024-06-09
538,422,8035,debit,food,2024-02-24
539,712,2775,debit,shopping,2024-07-26
540,247,31380,debit,food,2024-11-26
541,72,11340,credit,salary,2024-02-21
542,830,4105,debit,transfer,2024-01-19
543,185,6644,debit,atm,2024-08-29
544,6,17432,debit,transfer,2024-07-06
545,206,26936,credit,food,2024-01-10
546,544,14488,debit,transfer,2024-11-17
547,611,47827,debit,transfer,2024-01-07
548,906,1794,debit,shopping,2024-03-30
549,387,21241,credit,shopping,2024-06-16
550,768,22766,debit,salary,2024-07-16
551,699,47621,debit,shopping,2024-01-11
552,76,49394,credit,shopping,2024-02-21
553,177,38869,debit,shopping,2024-12-21
554,827,39520,debit,shopping,2024-05-19
555,799,47853,debit,salary,2024-08-07
556,349,37449,debit,shopping,2024-07-08
557,255,37955,debit,shopping,2024-11-24
558,837,1560,credit,food,2024-05-30
559,702,36755,debit,shopping,2024-10-22
560,308,47746,credit,salary,2024-07-16
561,345,41352,credit,salary,2024-11-01
562,127,9935,credit,transfer,2024-03-04
563,937,48511,debit,shopping,2024-05-26
564,287,11010,debit,atm,2024-07-30
565,766,17321,credit,transfer,2024-09-30
566,725,25713,credit,salary,2024-04-06
567,762,31453,credit,transfer,2024-04-02
568,596,38714,debit,atm,2024-11-24
569,487,8563,debit,food,2024-10-26
570,383,13436,credit,atm,2024-11-09
571,406,26634,credit,transfer,2024-03-02
572,388,2469,debit,shopping,2024-03-31
573,525,25481,debit,food,2024-11-04
574,557,46860,debit,atm,2024-12-24
575,639,19658,debit,shopping,2024-03-01
576,938,22469,credit,atm,2024-11-01
577,626,33750,debit,salary,2024-02-23
578,945,31054,debit,shopping,2024-10-24
579,276,25507,credit,salary,2024-07-05
580,500,36039,debit,food,2024-09-20
581,717,26867,credit,food,2024-08-25
582,337,2140,credit,food,2024-09-25
583,950,23216,credit,food,2024-07-17
584,932,26270,debit,salary,2024-11-30
585,481,6472,debit,salary,2024-12-23
586,897,22469,debit,transfer,2024-10-25
587,911,7662,debit,transfer,2024-09-04
588,973,44644,debit,salary,2024-09-12
589,273,6000,debit,food,2024-06-07
590,920,40833,debit,transfer,2024-11-28
591,58,21800,debit,shopping,2024-10-21
592,328,41333,credit,salary,2024-04-03
593,731,689,credit,shopping,2024-07-01
594,109,5163,debit,food,2024-01-19
595,279,20117,credit,salary,2024-07-14
596,686,18474,debit,transfer,2024-03-05
597,328,22999,credit,transfer,2024-10-22
598,776,49108,debit,shopping,2024-12-17
599,315,1358,debit,salary,2024-07-22
600,474,13698,debit,food,2024-03-16
601,111,2966,debit,atm,2024-07-30
602,699,49823,debit,atm,2024-09-01
603,781,41604,debit,food,2024-04-22
604,935,30232,debit,transfer,2024-01-30
605,229,29504,debit,atm,2024-09-03
606,497,45572,debit,food,2024-08-23
607,156,737,debit,shopping,2024-06-25
608,473,24716,debit,transfer,2024-04-02
609,701,37750,debit,food,2024-06-17
610,272,15928,credit,shopping,2024-03-26
611,887,26296,debit,salary,2024-04-18
612,2,36540,credit,atm,2024-10-31
613,758,45197,debit,atm,2024-06-05
614,722,47835,credit,atm,2024-05-08
615,511,32122,debit,food,2024-10-13
616,913,32302,debit,salary,2024-10-09
617,286,28804,debit,food,2024-10-17
618,871,25975,debit,food,2024-01-08
619,13,23741,debit,salary,2024-02-09
620,608,37579,credit,shopping,2024-07-18
621,498,13335,credit,transfer,2024-05-13
622,733,22127,debit,atm,2024-05-22
623,238,33027,credit,salary,2024-10-03
624,94,43012,credit,shopping,2024-07-16
625,338,47661,debit,salary,2024-11-05
626,781,42791,credit,transfer,2024-12-10
627,171,27122,debit,salary,2024-08-17
628,981,6038,debit,salary,2024-03-31
629,606,44222,debit,shopping,2024-04-15
630,661,42792,credit,atm,2024-03-27
631,624,33448,debit,atm,2024-10-01
632,567,32309,debit,shopping,2024-04-01
633,849,37342,debit,shopping,2024-09-12
634,936,10041,debit,food,2024-02-03
635,467,7173,debit,food,2024-02-27
636,628,42530,debit,transfer,2024-07-17
637,143,37927,debit,food,2024-08-30
638,201,46325,debit,food,2024-09-16
639,180,37196,debit,salary,2024-06-26
640,714,1021,credit,salary,2024-01-21
641,364,2873,credit,shopping,2024-02-29
642,479,4562,debit,atm,2024-06-19
643,565,21060,debit,transfer,2024-02-14
644,471,30368,credit,food,2024-02-11
645,384,19918,debit,salary,2024-06-25
646,692,39601,credit,atm,2024-07-14
647,926,44642,debit,food,2024-01-03
648,417,42178,debit,atm,2024-10-21
649,825,1965,debit,salary,2024-02-17
650,308,30806,debit,shopping,2024-05-28
651,649,28987,debit,food,2024-08-17
652,694,49976,debit,food,2024-01-18
653,367,30611,credit,transfer,2024-08-30
654,1,33579,debit,food,2024-04-15
655,44,40578,debit,salary,2024-06-11
656,739,26501,debit,atm,2024-02-01
657,843,28602,debit,atm,2024-05-01
658,98,46314,debit,shopping,2024-04-12
659,720,13494,debit,shopping,2024-07-04
660,265,33258,debit,salary,2024-08-10
661,800,9362,debit,atm,2024-12-15
662,783,4587,debit,shopping,2024-02-15
663,140,27441,credit,shopping,2024-05-05
664,481,43488,credit,transfer,2024-05-27
665,237,13670,credit,transfer,2024-12-25
666,974,29705,credit,salary,2024-01-26
667,953,6166,debit,salary,2024-05-18
668,904,37362,credit,salary,2024-07-12
669,72,26823,debit,salary,2024-12-24
670,667,3672,debit,atm,2024-08-03
671,190,12770,debit,food,2024-12-15
672,268,27939,credit,salary,2024-02-06
673,321,48807,debit,transfer,2024-08-02
674,107,49128,debit,food,2024-06-23
675,232,28501,credit,food,2024-04-23
676,42,10349,debit,atm,2024-10-29
677,702,2411,debit,shopping,2024-06-02
678,883,32111,debit,food,2024-10-07
679,139,43939,credit,atm,2024-10-03
680,615,39641,credit,atm,2024-10-25
681,683,39773,credit,atm,2024-10-05
682,863,3742,debit,salary,2024-03-05
683,273,6438,debit,shopping,2024-11-12
684,481,49214,debit,salary,2024-11-25
685,416,9722,debit,transfer,2024-03-29
686,506,48523,debit,shopping,2024-03-26
687,733,42973,debit,salary,2024-08-26
688,725,39108,credit,shopping,2024-07-18
689,853,47665,credit,transfer,2024-04-14
690,424,7906,debit,salary,2024-03-04
691,407,857,debit,shopping,2024-07-22
692,568,26810,debit,transfer,2024-06-24
